Sample,Lineage,True_Abundance,Predicted_Abundance,absolute_error
S14,Gamma,1.942,1.334,0.6079999999999999
S15,Gamma,3.007,2.299,0.7080000000000002
S16,Gamma,4.464,3.878,0.5860000000000003
S17,Gamma,5.516,4.942,0.5739999999999998
S18,Gamma,6.729,6.44,0.2889999999999997
S19,Gamma,7.625,7.414000000000001,0.2109999999999994
S20,Gamma,9.314,9.225999999999999,0.08800000000000097
S21,Gamma,10.116,9.998,0.11800000000000033
S22,Gamma,11.428,11.343,0.08500000000000085
S23,Gamma,12.237,12.037,0.1999999999999993
S24,Gamma,13.353,13.184000000000001,0.1689999999999987
S25,Gamma,13.704,13.431,0.27300000000000146
S26,Gamma,12.037,11.963,0.07400000000000162
S27,Gamma,10.328,10.168,0.16000000000000014
S28,Gamma,8.595,10.199,1.6039999999999992
S29,Gamma,5.887,5.39,0.4969999999999999
S30,Gamma,3.407,2.806,0.601
S31,Gamma,2.032,1.478,0.554
S32,Gamma,1.166,0.579,0.587
S33,Gamma,0.697,0.306,0.39099999999999996
S34,Gamma,0.49,0.18,0.31
S35,Gamma,0.246,0.0,0.246
S36,Gamma,0.162,0.0,0.162
S37,Gamma,0.11,0.0,0.11
S38,Gamma,0.042,0.0,0.042
S39,Gamma,0.028,0.0,0.028
S40,Gamma,0.039,0.0,0.039
S41,Gamma,0.01,0.0,0.01
S42,Gamma,0.015,0.0,0.015
S1,Iota,0.45,0.238,0.21200000000000002
S2,Iota,2.78,2.332,0.44799999999999995
S3,Iota,3.102,2.683,0.41900000000000004
S4,Iota,2.224,1.708,0.5160000000000002
S5,Iota,2.226,1.789,0.43700000000000006
S6,Iota,3.528,3.061,0.4670000000000001
S7,Iota,6.173,5.807,0.36599999999999966
S8,Iota,6.042,5.82,0.22199999999999953
S9,Iota,7.891,7.817,0.07399999999999984
S10,Iota,8.875,8.64,0.23499999999999943
S11,Iota,10.767,10.608,0.15899999999999892
S12,Iota,10.081,2.405,7.676
S13,Iota,12.986,13.087,0.10099999999999909
S14,Iota,13.444,13.22,0.2240000000000002
S15,Iota,15.055,15.035,0.019999999999999574
S16,Iota,13.626,13.57,0.05599999999999916
S17,Iota,12.728,12.864,0.136000000000001
S18,Iota,12.998,12.938,0.05999999999999872
S19,Iota,11.917,11.907,0.009999999999999787
S20,Iota,10.406,10.325,0.0810000000000013
S21,Iota,9.386,9.283,0.10299999999999976
S22,Iota,9.279,9.146,0.13299999999999912
S23,Iota,8.661,8.647,0.013999999999999346
S24,Iota,7.226,6.99,0.23599999999999977
S25,Iota,6.691,6.479,0.21199999999999974
S26,Iota,4.652,4.36,0.2919999999999998
S27,Iota,3.085,2.552,0.5329999999999999
S28,Iota,1.819,2.557,0.738
S29,Iota,1.099,0.726,0.373
S30,Iota,0.532,0.296,0.23600000000000004
S31,Iota,0.211,0.105,0.106
S32,Iota,0.076,0.0,0.076
S33,Iota,0.043,0.0,0.043
S34,Iota,0.321,0.148,0.17300000000000001
S35,Iota,0.014,0.0,0.014
S36,Iota,0.014,0.0,0.014
S37,Iota,0.002,0.0,0.002
S38,Iota,0.002,0.0,0.002
S39,Iota,0.002,0.0,0.002
S40,Iota,0.005,0.0,0.005
S11,Kappa,0.011,0.0,0.011
S12,Kappa,0.025,0.0,0.025
S13,Kappa,0.041,0.0,0.041
S14,Kappa,0.09,0.0,0.09
S15,Kappa,0.056,0.0,0.056
S16,Kappa,0.097,0.0,0.097
S17,Kappa,0.171,0.0,0.171
S18,Kappa,0.193,0.0,0.193
S19,Kappa,0.192,0.116,0.076
S20,Kappa,0.117,0.0,0.117
S21,Kappa,0.086,0.0,0.086
S22,Kappa,0.038,0.0,0.038
S23,Kappa,0.018,0.0,0.018
S24,Kappa,0.017,0.0,0.017
S25,Kappa,0.011,0.0,0.011
S27,Kappa,0.01,0.0,0.01
S6,Lambda,0.024,0.0,0.024
S7,Lambda,0.075,0.0,0.075
S8,Lambda,0.051,0.0,0.051
S9,Lambda,0.036,0.0,0.036
S10,Lambda,0.156,0.0,0.156
S11,Lambda,0.1,0.0,0.1
S12,Lambda,0.093,0.0,0.093
S13,Lambda,0.233,0.124,0.10900000000000001
S14,Lambda,0.125,0.0,0.125
S15,Lambda,0.132,0.0,0.132
S16,Lambda,0.203,0.0,0.203
S17,Lambda,0.191,0.0,0.191
S18,Lambda,0.238,0.128,0.10999999999999999
S19,Lambda,0.328,0.153,0.17500000000000002
S20,Lambda,0.28,0.107,0.17300000000000004
S21,Lambda,0.325,0.147,0.17800000000000002
S22,Lambda,0.343,0.122,0.22100000000000003
S23,Lambda,0.422,0.219,0.20299999999999999
S24,Lambda,0.43,0.236,0.194
S25,Lambda,0.331,0.171,0.16
S26,Lambda,0.46,0.203,0.257
S27,Lambda,0.41,0.165,0.24499999999999997
S28,Lambda,0.419,0.214,0.205
S29,Lambda,0.229,0.0,0.229
S30,Lambda,0.247,0.0,0.247
S31,Lambda,0.16,0.0,0.16
S32,Lambda,0.093,0.0,0.093
S33,Lambda,0.052,0.0,0.052
S34,Lambda,0.053,0.0,0.053
S35,Lambda,0.025,0.0,0.025
S36,Lambda,0.023,0.0,0.023
S37,Lambda,0.004,0.0,0.004
S38,Lambda,0.006,0.0,0.006
S39,Lambda,0.002,0.0,0.002
S12,Theta,0.008,0.0,0.008
S13,Theta,0.006,0.0,0.006
S14,Theta,0.005,0.0,0.005
S15,Theta,0.004,0.0,0.004
S16,Theta,0.003,0.0,0.003
S17,Theta,0.011,0.0,0.011
S20,Theta,0.003,0.0,0.003
S21,Theta,0.011,0.0,0.011
S22,Theta,0.014,0.0,0.014
S23,Theta,0.006,0.0,0.006
S24,Theta,0.008,0.0,0.008
S28,Theta,0.017,0.0,0.017
S1,Zeta,0.386,0.17,0.216
S2,Zeta,1.89,1.388,0.502
S3,Zeta,1.034,0.56,0.474
S4,Zeta,1.526,0.933,0.593
S5,Zeta,0.939,0.496,0.44299999999999995
S6,Zeta,2.054,1.517,0.5369999999999999
S7,Zeta,1.444,0.868,0.576
S8,Zeta,0.915,0.515,0.4
S9,Zeta,1.924,1.28,0.6439999999999999
S10,Zeta,1.675,1.191,0.484
S11,Zeta,1.45,0.979,0.471
S12,Zeta,1.101,1.206,0.10499999999999998
S13,Zeta,0.836,0.468,0.36799999999999994
S14,Zeta,0.595,0.333,0.26199999999999996
S15,Zeta,0.354,0.183,0.17099999999999999
S16,Zeta,0.349,0.156,0.19299999999999998
S17,Zeta,0.132,0.0,0.132
S18,Zeta,0.092,0.0,0.092
S19,Zeta,0.037,0.0,0.037
S20,Zeta,0.031,0.0,0.031
S21,Zeta,0.014,0.0,0.014
S22,Zeta,0.004,0.0,0.004
S24,Zeta,0.008,0.0,0.008
S25,Zeta,0.022,0.0,0.022
